query_id	target_id	TM_nocp	TM_cp	ΔCP	foldseek_bitscore	foldseek_evalue	query_sccs	target_sccs	query_species	target_species	query_length	target_length
d1a0pa1	d1f44a1	0.69463	0.69463	0.0	41	1.853	a.60.9.1	a.60.9.1	1a0p	1f44	91	110.0
d1a1va1	d1yksa1	0.75905	0.75905	0.0	209	1.535e-07	c.37.1.14	c.37.1.14	1a1v	1yks	136	140.0
d1a1va1	d2bmfa2	0.7318	0.7318	0.0	173	6.924e-07	c.37.1.14	c.37.1.14	1a1v	2bmf	136	297.0
d1a3aa_	d3bjva_	0.84451	0.84451	0.0	259	1.099e-08	d.112.1.1	d.112.1.0	1a3a	3bjv	145	156.0
d1a3aa_	d1a6ja_	0.80833	0.80833	0.0	249	1.099e-08	d.112.1.1	d.112.1.1	1a3a	1a6j	145	150.0
d1a4ia1	d4b4ua2	0.93697	0.93697	0.0	762	1.5230000000000001e-21	c.2.1.7	c.2.1.0	1a4i	4b4u	160	161.0
d1a4ia1	d4cjxa2	0.93856	0.93856	0.0	705	3.4260000000000005e-20	c.2.1.7	c.2.1.0	1a4i	4cjx	160	173.0
d1a4pa_	d1qlsa_	0.88212	0.88212	0.0	274	6.454e-08	a.39.1.2	a.39.1.2	1a4p	1qls	92	95.0
d1a4pa_	d3d10a_	0.82584	0.82584	0.0	222	1.494e-06	a.39.1.2	a.39.1.2	1a4p	3d10	92	92.0
d1a6qa1	d3fxka2	0.99337	0.99337	0.0	379	1.229e-09	a.159.1.1	a.159.1.0	1a6q	3fxk	68	68.0
d1a79a2	d1r0va3	0.74985	0.74985	0.0	205	2.454e-06	d.75.1.1	d.75.1.1	1a79	1r0v	74	75.0
d1a79a2	d1r11a3	0.6903	0.6903	0.0	96	0.009492	d.75.1.1	d.75.1.1	1a79	1r11	74	58.0
d1a8la1	d2ayta1	0.88428	0.88428	0.0	345	1.892e-10	c.47.1.2	c.47.1.0	1a8l	2ayt	119	121.0
d1a8la1	d1hyua3	0.75037	0.75037	0.0	224	3.025e-07	c.47.1.2	c.47.1.2	1a8l	1hyu	119	102.0
d1aa6a1	d2iv2x1	0.99185	0.99185	0.0	1000	1.016e-26	b.52.2.2	b.52.2.2	1aa6	2iv2	133	133.0
d1aa6a1	d2jioa1	0.72566	0.72566	0.0	363	1.023e-10	b.52.2.2	b.52.2.0	1aa6	2jio	133	123.0
d1ab8a_	d1azsa_	0.85638	0.85638	0.0	474	8.002e-14	d.58.29.1	d.58.29.1	1ab8	1azs	177	190.0
d1ab8a_	d6ao9a_	0.81398	0.81398	0.0	382	1.465e-11	d.58.29.1	d.58.29.0	1ab8	6ao9	177	171.0
d1abaa_	d1nm3a1	0.66321	0.66302	-0.00018999999999991246	156	5.554e-05	c.47.1.1	c.47.1.1	1aba	1nm3	87	74.0
d1abaa_	d3fz9a_	0.70661	0.70661	0.0	123	0.001171	c.47.1.1	c.47.1.0	1aba	3fz9	87	106.0
d1afia_	d3cjkb1	0.80978	0.80978	0.0	224	1.02e-06	d.58.17.1	d.58.17.1	1afi	3cjk	72	71.0
d1afia_	d1cpza_	0.79725	0.79725	0.0	223	1.408e-06	d.58.17.1	d.58.17.1	1afi	1cpz	72	68.0
d1aisa1	d1nh2a1	0.82947	0.82947	0.0	294	4.051e-08	d.129.1.1	d.129.1.1	1ais	1nh2	92	95.0
d1aisa1	d1nh2a2	0.79961	0.79961	0.0	267	2.913e-07	d.129.1.1	d.129.1.1	1ais	1nh2	92	85.0
d1aqza_	d1i0va_	0.59658	0.59658	0.0	105	0.001929	d.1.1.3	d.1.1.4	1aqz	1i0v	142	104.0
d1aqza_	d3agna_	0.61386	0.61386	0.0	103	0.002045	d.1.1.3	d.1.1.4	1aqz	3agn	142	114.0
d1b0ba_	d3pt8a_	0.92921	0.92921	0.0	363	6.137e-08	a.1.1.2	a.1.1.0	1b0b	3pt8	142	151.0
d1b0ba_	d1mbaa_	0.85552	0.85552	0.0	241	2.132e-05	a.1.1.2	a.1.1.2	1b0b	1mba	142	146.0
d1b0na2	d1r69a_	0.79794	0.79794	0.0	196	0.0002952	a.35.1.3	a.35.1.2	1b0n	1r69	68	63.0
d1b0na2	d2b5aa1	0.81751	0.81751	0.0	187	0.0002791	a.35.1.3	a.35.1.3	1b0n	2b5a	68	77.0
d1b24a1	d1dq3a3	0.70307	0.70307	0.0	130	0.0002214	d.95.2.1	d.95.2.2	1b24	1dq3	93	98.0
d1b24a1	d1jvaa3	0.69539	0.69539	0.0	97	0.008921	d.95.2.1	d.95.2.2	1b24	1jva	93	107.0
d1beda_	d4dvca1	0.98571	0.98571	0.0	1319	1.433e-33	c.47.1.13	c.47.1.13	1bed	4dvc	181	182.0
d1beda_	d3l9sa_	0.89704	0.89704	0.0	614	8.01e-18	c.47.1.13	c.47.1.13	1bed	3l9s	181	185.0
d1bg1a2	d1uura2	0.59005	0.59005	0.0	200	7.874e-08	b.2.5.5	b.2.5.5	1bg1	1uur	254	212.0
d1bl0a1	d1d5ya2	0.65789	0.65789	0.0	33	1.649	a.4.1.8	a.4.1.8	1bl0	1d5y	54	65.0
d1bmra_	d1ahoa_	0.76461	0.76461	0.0	167	5.406e-05	g.3.7.1	g.3.7.1	1bmr	1aho	67	64.0
d1bmra_	d2i61a_	0.60954	0.60954	0.0	119	0.0007654	g.3.7.1	g.3.7.1	1bmr	2i61	67	62.0
d1brza_	d4he7a_	0.78292	0.78292	0.0	304	6.459e-09	g.3.7.5	g.3.7.5	1brz	4he7	54	53.0
d1brza_	d3psma_	0.6243	0.6243	0.0	74	0.1021	g.3.7.5	g.3.7.5	1brz	3psm	54	47.0
d1bvsa3	d1cuka3	0.88	0.88	0.0	255	5.046e-06	b.40.4.2	b.40.4.2	1bvs	1cuk	63	64.0
d1bvsa3	d1ixra2	0.84547	0.84547	0.0	239	1.081e-05	b.40.4.2	b.40.4.2	1bvs	1ixr	63	62.0
d1c20a_	d2cxya_	0.63616	0.63616	0.0	210	4.363e-07	a.4.3.1	a.4.3.1	1c20	2cxy	128	114.0
d1c20a_	d1ig6a_	0.54338	0.54338	0.0	91	0.008019	a.4.3.1	a.4.3.1	1c20	1ig6	128	107.0
