query	target	prog_score	cirpin_score	tm_score_cp
d2i49a_	d4iwha1	0.60	0.92	0.25
d1z05a2	d6y8ya2	0.53	0.91	0.29
d1z05a2	d5mu9a2	0.38	0.90	0.26
d1z05a2	d2glza1	0.46	0.91	0.26
d1z05a2	d2gvia1	0.47	0.92	0.36
d3v3ea_	d1uf2c1	0.53	0.90	0.29
d2pbea2	d2iida2	0.54	0.90	0.38
d1kr7a_	d1g03a_	0.55	0.92	0.40
d1kr7a_	d1p28a1	0.57	0.92	0.46
d1kr7a_	d4pt1a_	0.55	0.91	0.44
d1kr7a_	d3v2la1	0.54	0.90	0.34
d1kr7a_	d6jpma_	0.55	0.90	0.45
d1kr7a_	d6ifka4	0.45	0.90	0.41
d2g3ma4	d1z1wa3	0.51	0.91	0.28
d2g3ma4	d4qmea3	0.51	0.94	0.42
d1i58a_	d1n4wa2	0.37	0.91	0.31
d1i58a_	d3qvpa2	0.41	0.91	0.33
d1sddb2	d2j43a1	0.58	0.91	0.40
d1sddb2	d2g2na_	0.50	0.93	0.43
d1sddb2	d1f86a_	0.50	0.90	0.46
d1sddb2	d2iiaa_	0.44	0.95	0.38
d1sddb2	d3qvaa1	0.51	0.95	0.43
d1sddb2	d4q14a_	0.49	0.94	0.45
d1sddb2	d2j73a_	0.57	0.91	0.44
d1sddb2	d4ywaa_	0.42	0.94	0.39
d1sddb2	d2h6ua_	0.50	0.91	0.43
d4k2na1	d2ypoa_	0.57	0.94	0.22
d2cpia1	d1uv7a_	0.46	0.92	0.47
d1x6ia1	d3ygsp1	0.44	0.92	0.35
d2nrac1	d1k1ga_	0.56	0.92	0.34
d2nrac1	d2ctma1	0.54	0.90	0.32
d2nrac1	d4lija_	0.49	0.90	0.32
d2nrac1	d1viga_	0.50	0.91	0.33
d2nrac1	d1tuaa1	0.51	0.90	0.33
d2nrac1	d1zzka2	0.49	0.91	0.29
d2nrac1	d2ja9a2	0.55	0.91	0.34
d1p5sa_	d2euca1	0.40	0.91	0.34
d1aora1	d1k4ta2	0.57	0.91	0.23
d5jsqa_	d3ozua3	0.57	0.93	0.46
d5jsqa_	d1krha2	0.58	0.92	0.43
d5jsqa_	d2naca2	0.59	0.91	0.35
d5jsqa_	d4eh1a2	0.59	0.93	0.43
d5jsqa_	d1tvca2	0.58	0.92	0.46
d5jsqa_	d1f20a2	0.57	0.90	0.47
d5jsqa_	d2piaa2	0.55	0.92	0.43
d5jsqa_	d1qfja2	0.60	0.92	0.44
d5jsqa_	d3lo8a2	0.56	0.90	0.43
d3ry4a1	d5m0yb1	0.48	0.91	0.42
d3ry4a1	d3agxa2	0.55	0.90	0.36
d2pz4a1	d2j01v1	0.54	0.91	0.30
d2ccva1	d3e1za_	0.53	0.93	0.41
d2ccva1	d1rhfa1	0.56	0.95	0.45
d2ccva1	d2nw2b2	0.56	0.94	0.43
d2ccva1	d1biha2	0.51	0.90	0.44
d2ccva1	d1iama2	0.55	0.92	0.43
d2ccva1	d3cafa_	0.54	0.91	0.47
d2ccva1	d1pbya4	0.59	0.90	0.41
d2ccva1	d1xaua_	0.54	0.91	0.46
d2ccva1	d5fm5o1	0.54	0.92	0.44
d2ccva1	d2edna1	0.58	0.91	0.47
d2ccva1	d2c34a1	0.53	0.93	0.36
d2ccva1	d4ra0c1	0.55	0.90	0.48
d2ccva1	d3cx2a_	0.56	0.93	0.45
d2ccva1	d3edea1	0.56	0.93	0.50
d2ccva1	d1l6pa_	0.43	0.93	0.43
d2ccva1	d4gafb3	0.58	0.93	0.47
d2ccva1	d2ifga1	0.59	0.91	0.44
d2ccva1	d6cjza1	0.37	0.93	0.45
d6sdpa_	d6vx8a_	0.41	0.90	0.27
d1pp9f_	d4bkha1	0.60	0.92	0.32
d4f42a_	d1fs1a1	0.60	0.92	0.25
d2dbsa1	d1lr0a1	0.53	0.90	0.24
d2dbsa1	d3qdpa_	0.55	0.93	0.30
d2dbsa1	d2a2pa1	0.58	0.90	0.28
d2dbsa1	d2jxta1	0.44	0.91	0.28
d2dbsa1	d2fhza1	0.51	0.91	0.31
d2dbsa1	d2hg4a4	0.55	0.91	0.31
d2dbsa1	d2vz8a5	0.57	0.92	0.36
d6sj5a_	d2hkea2	0.42	0.92	0.30
d6sj5a_	d4peoa_	0.58	0.91	0.42
d1k6da_	d1saya2	0.44	0.94	0.38
d1k6da_	d1l7da2	0.45	0.92	0.38
d1f8fa1	d1kbla2	0.56	0.91	0.25
d1reqb2	d2rc5a2	0.49	0.90	0.39
d1reqb2	d3qfta2	0.49	0.91	0.47
d1reqb2	d1tvca2	0.51	0.90	0.44
d1reqb2	d1f20a2	0.51	0.91	0.45
d1reqb2	d2piaa2	0.48	0.90	0.37
d1uf2c2	d1zk5a_	0.59	0.90	0.37
d1a04a2	d2piaa2	0.53	0.91	0.45
d3mqda2	d1ekja_	0.59	0.92	0.28
d3mqda2	d2d0oa2	0.59	0.93	0.21
d3mqda2	d4h0oa2	0.58	0.90	0.40
d3mqda2	d3sk3a2	0.59	0.91	0.40
d3mqda2	d1z05a3	0.60	0.90	0.47
d3mqda2	d1cz9a_	0.55	0.92	0.42
d3mqda2	d3p1ga_	0.54	0.93	0.46
d3mqda2	d3s3na2	0.55	0.91	0.36
d3mqda2	d6gfaa1	0.60	0.92	0.40
d3mqda2	d1ex2a_	0.37	0.90	0.45
d3mqda2	d4krea3	0.55	0.90	0.37
d3mqda2	d3djcc2	0.60	0.91	0.41
d3mqda2	d4h0pa2	0.59	0.94	0.33
d3mqda2	d3i33a1	0.60	0.93	0.42
d3mqda2	d1woqa1	0.60	0.94	0.47
d3mqda2	d1zbfa1	0.53	0.95	0.28
d3mqda2	d2igia_	0.51	0.91	0.43
d3mqda2	d4czga1	0.60	0.92	0.47
d3mqda2	d3u3ga_	0.53	0.93	0.47
d3mqda2	d1i39a_	0.50	0.94	0.34
d3mqda2	d2fb5a1	0.58	0.95	0.26
d3mqda2	d2qxfa_	0.57	0.91	0.25
d3mqda2	d4a2ba2	0.60	0.93	0.41
d3mqda2	d2zgya1	0.55	0.91	0.44
d3mqda2	d1t6ca1	0.59	0.91	0.46
d3mqda2	d1ekea_	0.54	0.94	0.32
d3mqda2	d1jl1a_	0.54	0.92	0.35
d3mqda2	d6ksra2	0.59	0.94	0.23
d3mqda2	d3sk3a1	0.57	0.92	0.24
d3mqda2	d3mdqa2	0.59	0.90	0.30
d3mqda2	d1ddza2	0.52	0.91	0.26
d3mqda2	d2bgga3	0.53	0.92	0.40
d3mqda2	d1q8ia1	0.53	0.91	0.25
d3mqda2	d4oo0a_	0.37	0.90	0.45
d3mqda2	d2etja1	0.56	0.95	0.36
