query	target	prog_score	cirpin_score	tm_score_cp
d4iwha1	d2i49a_	0.60	0.92	0.25
d6y8ya2	d1z05a2	0.53	0.91	0.30
d5mu9a2	d1z05a2	0.38	0.90	0.26
d2glza1	d1z05a2	0.46	0.91	0.26
d2gvia1	d1z05a2	0.47	0.92	0.35
d1uf2c1	d3v3ea_	0.53	0.90	0.33
d2iida2	d2pbea2	0.54	0.90	0.37
d1g03a_	d1kr7a_	0.55	0.92	0.38
d1p28a1	d1kr7a_	0.57	0.92	0.45
d4pt1a_	d1kr7a_	0.55	0.91	0.31
d3v2la1	d1kr7a_	0.54	0.90	0.47
d6jpma_	d1kr7a_	0.55	0.90	0.46
d6ifka4	d1kr7a_	0.45	0.90	0.36
d1z1wa3	d2g3ma4	0.51	0.91	0.37
d4qmea3	d2g3ma4	0.51	0.94	0.45
d1n4wa2	d1i58a_	0.37	0.91	0.32
d3qvpa2	d1i58a_	0.41	0.91	0.33
d2j43a1	d1sddb2	0.58	0.91	0.40
d2g2na_	d1sddb2	0.50	0.93	0.45
d1f86a_	d1sddb2	0.50	0.90	0.46
d2iiaa_	d1sddb2	0.44	0.95	0.37
d3qvaa1	d1sddb2	0.51	0.95	0.45
d4q14a_	d1sddb2	0.49	0.94	0.45
d2j73a_	d1sddb2	0.57	0.91	0.42
d4ywaa_	d1sddb2	0.42	0.94	0.39
d2h6ua_	d1sddb2	0.50	0.91	0.46
d2ypoa_	d4k2na1	0.57	0.94	0.21
d1uv7a_	d2cpia1	0.46	0.92	0.47
d3ygsp1	d1x6ia1	0.44	0.92	0.36
d1k1ga_	d2nrac1	0.56	0.92	0.34
d2ctma1	d2nrac1	0.54	0.90	0.26
d4lija_	d2nrac1	0.49	0.90	0.31
d1viga_	d2nrac1	0.50	0.91	0.30
d1tuaa1	d2nrac1	0.51	0.90	0.33
d1zzka2	d2nrac1	0.49	0.91	0.32
d2ja9a2	d2nrac1	0.55	0.91	0.27
d2euca1	d1p5sa_	0.40	0.91	0.34
d1k4ta2	d1aora1	0.57	0.91	0.23
