query,target,encoding,query_output,target_output,score_x1,score_x2,score_diff
d3d02a_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d3d02a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,221,221,0
d3d02a_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d3d02a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,691,691,0
d1jx6a_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1jx6a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,157,157,0
d1jx6a_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1jx6a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,536,536,0
d1jyea_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1jyea__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,204,204,0
d1jyea_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1jyea__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,638,640,2
d2fn9a_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2fn9a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,270,270,0
d2fn9a_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2fn9a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,692,693,1
d1tjya_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1tjya__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,252,252,0
d1tjya_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1tjya__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,669,669,0
d2fvya_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2fvya__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,309,309,0
d2fvya_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2fvya__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,709,709,0
d1byka_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1byka__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,144,144,0
d1byka_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1byka__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,480,501,21
d1guda_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1guda__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,257,257,0
d1guda_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1guda__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,620,625,5
d1dbqa_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1dbqa__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,212,212,0
d1dbqa_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d1dbqa__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,553,553,0
d2gx6a_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2gx6a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,324,324,0
d2gx6a_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2gx6a__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,750,750,0
d3c3ka_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d3c3ka__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,198,198,0
d3c3ka_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d3c3ka__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,537,542,5
d2nzug_,d8abpa_,8f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2nzug__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,219,219,0
d2nzug_,d8abpa_,10f,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d2nzug__3di.txt,/mnt/scratch/jugipalace/foldseek_new_3di/x1_x2_compare/d8abpa__3di.txt,607,607,0
