query	target	prog_score	cirpin_score	tm_score	tm_score_cp	tm_diff
d4aa7a1	d6k61m_	0.58	0.93	0.54	0.54	0.00
d5lxea_	d3neva_	0.49	0.91	0.53	0.53	0.00
d5lxea_	d3e96a_	0.48	0.92	0.53	0.53	0.00
d1rhca_	d3e96a_	0.46	0.90	0.51	0.51	0.00
d5lxea_	d6arha_	0.51	0.91	0.52	0.52	0.00
d2i5ia1	d1o7d.3	0.56	0.96	0.51	0.51	0.00
d3thra_	d1sg9a_	0.59	0.90	0.50	0.50	0.00
d1x9na3	d3jsla_	0.52	0.92	0.53	0.53	-0.00
d1itxa1	d1v93a_	0.45	0.92	0.53	0.53	0.00
d5kina_	d1v93a_	0.58	0.92	0.57	0.57	0.00
d1goia2	d1v93a_	0.56	0.91	0.52	0.52	0.00
d4k8ga2	d1v93a_	0.58	0.92	0.50	0.50	0.00
d1ta3a_	d1v93a_	0.60	0.90	0.59	0.59	0.00
d2nxca1	d3d2la_	0.59	0.97	0.54	0.54	0.00
d3gd6a2	d2nqha_	0.59	0.95	0.58	0.58	0.00
d5lxea_	d5c54a_	0.47	0.91	0.53	0.53	0.00
d1rhca_	d5c54a_	0.46	0.90	0.52	0.52	0.00
d4al0a_	d3bvxa1	0.59	0.91	0.50	0.50	0.00
d3i6ea2	d3aala_	0.58	0.91	0.56	0.56	0.00
d3dg3a2	d3aala_	0.58	0.93	0.57	0.57	0.00
d1ckma2	d1x9na3	0.53	0.91	0.63	0.63	0.00
d3fsta_	d1itxa1	0.50	0.91	0.53	0.53	0.00
d1i60a_	d4l6ha2	0.58	0.94	0.50	0.50	-0.00
d1k77a1	d3rita2	0.59	0.91	0.61	0.61	0.00
d2nxca1	d2p7ia_	0.57	0.94	0.52	0.52	0.00
d1a0ia2	d1ckma2	0.53	0.91	0.60	0.60	0.00
d1fvia2	d1ckma2	0.50	0.92	0.58	0.58	0.00
d1s68a_	d1ckma2	0.51	0.94	0.54	0.54	0.00
d5lxea_	d6h4ea_	0.52	0.92	0.52	0.52	0.00
d3pfia2	d1zela1	0.58	0.91	0.53	0.52	-0.01
d1ucra_	d1zela1	0.53	0.95	0.57	0.57	0.00
d1zela1	d2obpa1	0.56	0.94	0.51	0.51	0.00
d5lxea_	d4n4pa_	0.51	0.93	0.52	0.52	0.00
d1rhca_	d4n4pa_	0.49	0.92	0.50	0.50	0.00
d5lxea_	d3i6ea2	0.57	0.90	0.50	0.50	0.00
